word,true_label,predicted_label,error_type,pos_tag,fgpos_tag,sentence
called,0,0,Correct,VERB,VBN,"'Bye for now ! ’ she called , and ran in through the imposing front door ."
ran,0,0,Correct,VERB,VBD,"'Bye for now ! ’ she called , and ran in through the imposing front door ."
imposing,0,0,Correct,VERB,VBG,"'Bye for now ! ’ she called , and ran in through the imposing front door ."
front,0,0,Correct,NOUN,NN,"'Bye for now ! ’ she called , and ran in through the imposing front door ."
door,0,0,Correct,NOUN,NN,"'Bye for now ! ’ she called , and ran in through the imposing front door ."
Aristotle,0,0,Correct,PROPN,NNP,"( Aristotle , 1959,1260A )"
Harris,0,0,Correct,PROPN,NNP,"( Harris , 1982 , p. 49 )"
accent,0,0,Correct,NOUN,NN,( Her accent is very French but she speaks English fluently . )
French,0,0,Correct,ADJ,JJ,( Her accent is very French but she speaks English fluently . )
speaks,0,1,False Positive,VERB,VBZ,( Her accent is very French but she speaks English fluently . )
English,0,0,Correct,PROPN,NNP,( Her accent is very French but she speaks English fluently . )
fluently,1,0,False Negative,ADV,RB,( Her accent is very French but she speaks English fluently . )
Hobbes,0,0,Correct,PROPN,NNP,"( Hobbes , 1914 , p. 21 )"
Holt,0,0,Correct,PROPN,NNP,"( Holt , 1974 , p. 16 )"
Holt,0,0,Correct,PROPN,NNP,"( Holt , 1974 , p. 16 )"
Sartre,0,0,Correct,PROPN,NNP,"( I , 817 — 18 ) Sartre arrives at what he calls ‘ the real problem of History ’ , that is how there can be totalization without a totalizer , only at the very end of Volume I. It is not until the next volume , however , that he intends to show how individual actions , separate multiplicities , make up ‘ one human history , with one truth and one intelligibility ’ ( I , 69 ) ."
arrives,1,1,Correct,VERB,VBZ,"( I , 817 — 18 ) Sartre arrives at what he calls ‘ the real problem of History ’ , that is how there can be totalization without a totalizer , only at the very end of Volume I. It is not until the next volume , however , that he intends to show how individual actions , separate multiplicities , make up ‘ one human history , with one truth and one intelligibility ’ ( I , 69 ) ."
calls,0,1,False Positive,NOUN,NNS,"( I , 817 — 18 ) Sartre arrives at what he calls ‘ the real problem of History ’ , that is how there can be totalization without a totalizer , only at the very end of Volume I. It is not until the next volume , however , that he intends to show how individual actions , separate multiplicities , make up ‘ one human history , with one truth and one intelligibility ’ ( I , 69 ) ."
real,0,0,Correct,ADJ,JJ,"( I , 817 — 18 ) Sartre arrives at what he calls ‘ the real problem of History ’ , that is how there can be totalization without a totalizer , only at the very end of Volume I. It is not until the next volume , however , that he intends to show how individual actions , separate multiplicities , make up ‘ one human history , with one truth and one intelligibility ’ ( I , 69 ) ."
problem,0,0,Correct,NOUN,NN,"( I , 817 — 18 ) Sartre arrives at what he calls ‘ the real problem of History ’ , that is how there can be totalization without a totalizer , only at the very end of Volume I. It is not until the next volume , however , that he intends to show how individual actions , separate multiplicities , make up ‘ one human history , with one truth and one intelligibility ’ ( I , 69 ) ."
History,0,0,Correct,NOUN,NN,"( I , 817 — 18 ) Sartre arrives at what he calls ‘ the real problem of History ’ , that is how there can be totalization without a totalizer , only at the very end of Volume I. It is not until the next volume , however , that he intends to show how individual actions , separate multiplicities , make up ‘ one human history , with one truth and one intelligibility ’ ( I , 69 ) ."
totalization,0,0,Correct,PROPN,NNP,"( I , 817 — 18 ) Sartre arrives at what he calls ‘ the real problem of History ’ , that is how there can be totalization without a totalizer , only at the very end of Volume I. It is not until the next volume , however , that he intends to show how individual actions , separate multiplicities , make up ‘ one human history , with one truth and one intelligibility ’ ( I , 69 ) ."
totalizer,0,0,Correct,PROPN,NNP,"( I , 817 — 18 ) Sartre arrives at what he calls ‘ the real problem of History ’ , that is how there can be totalization without a totalizer , only at the very end of Volume I. It is not until the next volume , however , that he intends to show how individual actions , separate multiplicities , make up ‘ one human history , with one truth and one intelligibility ’ ( I , 69 ) ."
end,1,1,Correct,NOUN,NN,"( I , 817 — 18 ) Sartre arrives at what he calls ‘ the real problem of History ’ , that is how there can be totalization without a totalizer , only at the very end of Volume I. It is not until the next volume , however , that he intends to show how individual actions , separate multiplicities , make up ‘ one human history , with one truth and one intelligibility ’ ( I , 69 ) ."
Volume,0,0,Correct,NOUN,NN,"( I , 817 — 18 ) Sartre arrives at what he calls ‘ the real problem of History ’ , that is how there can be totalization without a totalizer , only at the very end of Volume I. It is not until the next volume , however , that he intends to show how individual actions , separate multiplicities , make up ‘ one human history , with one truth and one intelligibility ’ ( I , 69 ) ."
next,1,1,Correct,ADV,RB,"( I , 817 — 18 ) Sartre arrives at what he calls ‘ the real problem of History ’ , that is how there can be totalization without a totalizer , only at the very end of Volume I. It is not until the next volume , however , that he intends to show how individual actions , separate multiplicities , make up ‘ one human history , with one truth and one intelligibility ’ ( I , 69 ) ."
volume,0,0,Correct,NOUN,NN,"( I , 817 — 18 ) Sartre arrives at what he calls ‘ the real problem of History ’ , that is how there can be totalization without a totalizer , only at the very end of Volume I. It is not until the next volume , however , that he intends to show how individual actions , separate multiplicities , make up ‘ one human history , with one truth and one intelligibility ’ ( I , 69 ) ."
however,0,0,Correct,ADV,RB,"( I , 817 — 18 ) Sartre arrives at what he calls ‘ the real problem of History ’ , that is how there can be totalization without a totalizer , only at the very end of Volume I. It is not until the next volume , however , that he intends to show how individual actions , separate multiplicities , make up ‘ one human history , with one truth and one intelligibility ’ ( I , 69 ) ."
